GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.engines.jexl,JEXLEngine,211,0,18,0,48,0,18,0,9,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager,366,739,15,47,101,200,23,41,8,25
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSF_LogFactory,8,5,0,0,3,1,2,1,2,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSF_Log,381,539,21,23,130,93,24,22,3,21
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFDeclaredBean,0,12,0,0,0,5,0,1,0,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,Main,82,205,8,11,18,50,8,6,1,3
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,Main.new WindowAdapter() {...},6,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFException,0,57,2,4,0,18,2,7,0,6
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},43,0,0,0,2,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},49,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},39,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,29,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,39,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,33,0,0,0,2,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,34,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,34,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.cf,CFDriver,213,56,20,8,53,15,16,2,2,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.cf,CodeFormatter,146,295,30,31,33,79,23,23,2,10
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,EventAdapterGenerator,747,523,61,19,153,121,41,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,AdapterClassLoader,77,108,7,9,16,32,6,10,0,8
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,ByteUtility,298,736,36,12,72,122,36,18,0,15
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,Bytecode,11,86,0,0,2,22,2,10,2,10
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,AdapterClassLoader.LocalThreadClassLoader,16,11,0,0,3,4,3,2,3,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_ContainerAdapter,22,3,0,0,4,1,2,1,2,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_FocusAdapter,22,3,0,0,4,1,2,1,2,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_AdjustmentAdapter,11,3,0,0,2,1,1,1,1,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_ItemAdapter,14,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_MouseAdapter,55,3,0,0,10,1,5,1,5,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_ComponentAdapter,44,3,0,0,8,1,4,1,4,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_KeyAdapter,36,0,0,0,7,0,4,0,4,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_TextAdapter,14,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_ActionAdapter,11,3,0,0,2,1,1,1,1,1
