GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.engines.jexl,JEXLEngine,211,0,18,0,48,0,18,0,9,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager,418,687,16,46,116,185,25,39,9,24
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSF_LogFactory,8,5,0,0,3,1,2,1,2,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSF_Log,589,331,33,11,168,55,36,10,15,9
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFDeclaredBean,0,12,0,0,0,5,0,1,0,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,Main,273,14,18,1,65,3,13,1,3,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,Main.new WindowAdapter() {...},6,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFException,34,23,6,0,9,9,5,4,2,4
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},43,0,0,0,2,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},49,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},39,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,29,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},39,0,0,0,3,0,2,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,33,0,0,0,2,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,34,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf,BSFManager.new PrivilegedExceptionAction() {...},0,34,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.cf,CFDriver,266,3,28,0,67,1,17,1,3,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.cf,CodeFormatter,403,38,60,1,98,14,39,7,5,7
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,EventAdapterGenerator,1270,0,80,0,274,0,43,0,3,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,AdapterClassLoader,117,68,11,5,28,20,10,6,2,6
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,ByteUtility,592,442,39,9,121,73,42,12,5,10
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,Bytecode,16,81,0,0,3,21,3,9,3,9
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.generator,AdapterClassLoader.LocalThreadClassLoader,16,11,0,0,3,4,3,2,3,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_ContainerAdapter,22,3,0,0,4,1,2,1,2,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_FocusAdapter,22,3,0,0,4,1,2,1,2,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event.adapters,java_awt_event_AdjustmentAdapter,11,3,0,0,2,1,1,1,1,1
